Text,No of words,No of questoning words,label,question mark
Now you want to find out whether this document is having a positive sentiment or a negative sentiment.,18,1,Question,0
What would you do to achieve this goal?,8,1,Question,1
"So let's say you have joined a company and they're asking. You to do this. OK, but your constraint is you cannot use Python because Python is not one of the approved technologies to be used in the company's ecosystem. ",40,0,Question,0
So what would you do?What technology would you pick? Which programming language would you pick for doing this? ,18,2,Question,1
Why? ,1,1,Question,1
In Java and object oriented programming language or it is a non object oriented? ,14,0,Question,1
"So Hemant, how are you?",5,1,Question,1
"You heard your friend saying that Java is an object oriented programming language, right?",14,0,Question,1
Can you give an example of method overloading? ,8,0,Question,1
What is the limitation or what is the drawback?Of an object oriented programming Language. ,14,1,Question,1
So if there are no drawbacks.Why are people still using?Low level coding languages like C. ,15,1,Question,1
Why would you use that information? Why would you want to know that? ,13,1,Question,1
Are you saying that with Java code you cannot interact with the system? ,13,0,Question,1
Can you tell me where median is used and mean is not used? ,13,0,Question,1
Which is computationally easier?,4,1,Question,1
Why do you say that? ,5,1,Question,1
"But you don't know whether it is sorted or not, right? ",11,1,Question,1
And why do you say that? ,6,1,Question,1
"explain what is the bag of what, Sir? What is a bag of words? Bow in text processing? ",18,1,Question,1
So you are saying that bag of words basically is? The frequency of words,14,0,Question,1
Then what is Tom frequency? ,5,1,Question,1
What is Tom frequency TF? ,5,1,Question,1
What is the difference between discrete Fourier transform? And. Discrete cosine transform. ,12,1,Question,1
OK. Is that all? ,4,0,Question,1
Is that all of their involved? ,6,0,Question,1
For compressing images?,3,0,Question,1
OK.So let's say you have you are building a speech processing system. OK. ,13,0,Question,0
So your job is basically to. Process the incoming speech. And find out. If the color is using any bad words. OK. Negative words. How will you design this system?,30,1,Question,1
You understand what are sets?,5,1,Question,1
Suppose the intersection of two sets A&B. OK. And the Union of two sets A&B? ,15,0,Question,1
You know what is the set? Do you understand what is the? What is the cardinality of a set? ,19,1,Question,1
The cardinality of a Union B. And a intersection B is same. So what do you tell about these two? Sets A&B. ,22,1,Question,1
Now suppose the cardinality of a intersection B is 0. What does it tell about sets A&B? ,17,1,Question,1
what is the difference between dot product and cross product? ,10,1,Question,1
And we will do dot product for matrices.,8,0,Question,0
Can you do dot product between any 2 vectors? Or is there some some assumptions? ,15,0,Question,1
"OK, suppose I give you 1 vector which is 10 dimensional and another vector which is 3 dimensional. You can do a dot product between them. ",27,1,Question,0
"OK, what about convolution? ",4,1,Question,1
 When do we use conversation? ,6,1,Question,1
 let's say speech is your signal. OK. Let's say speech processing is your signal processing activity. You have speeds and you have to process. ,25,0,Question,0
"In speech processing, can you give an example of convolution? ",10,0,Question,1
Where in speech processing can you use conversation? ,9,0,Question,1
What are the MFCC? What is the MFCC? ,8,1,Question,1
 What are they? ,4,1,Question,1
How how can you boost the voice low voice to high OS by using MFC? ,15,1,Question,1
And that you will do with MFCC. ,7,0,Question,0
You know?,2,0,Question,1
What is the spectrogram? ,5,1,Question,1
It's like a graph. Anything else? ,6,0,Question,1
 What are the different ways we can transform a speech signal into its? Into its spectral domain so that we can analyze the constituent frequency components present in the signal. ,31,1,Question,1
How can we transform a speech signal? So that we can know which frequency components are present in the signal. ,20,2,Question,1
I have a speech signal I want to. I'm interested in knowing which frequency components are preserved. How would I know that? ,22,2,Question,1
What feature extraction? ,3,1,Question,1
And how do you generate a spectrogram? ,7,1,Question,1
"All frequency components you will plot with respect to time. OK, how would you first know which frequency components are present? ",21,2,Question,1
 Can you explain that a little more? ,8,0,Question,1
 How is amplitude related to frequency? ,7,1,Question,1
"So you are saying if the signal is high amplitude, it means it is of high frequency, is that right? ",20,0,Question,1
What the first frequency or amplitude? ,6,1,Question,1
"OK. But. You related that amplitude is related to frequency, right? ",11,0,Question,1
So if amplitude is differing from one time window to another time window. Does it imply that the frequency is also changing from one time window to another time window? ,30,0,Question,1
what is pitch?,3,1,Question,1
Pitch is related to amplitude or pitch is related to frequency. ,11,0,Question,0
Pitch Consisting of amplitude and space?. ,6,0,Question,1
"So you are saying Pitch basically consists of three different things, amplitude, phase and frequency?",15,0,Question,1
"So from one time window when you move to another time window, you said pitch will vary, right? ",18,1,Question,1
OK. Very good. You also talked about window windowing. What are the different window functions which are present? ,18,2,Question,1
OK. So how many window functions? ,6,1,Question,1
How many window functions you know of? ,7,1,Question,1
"3. OK, amongst these three, which is which is better? ",10,1,Question,1
OK. And why is it better? ,6,1,Question,1
Can't you do overlapping windows even with rectangular window? ,9,0,Question,1
So then why cosine window is better? ,7,1,Question,1
So in a month. You kept track of what you were doing. And you found that In 20 days you have taken 12 Pops and eight six packets.So what is the probability of you consuming puffs?  ,37,1,Question,1
" Now you also next month. What you did is that you kept the data.all right Additionally you had kept the data. The days on which you go and buy pops and chips. What was the weather condition outside? OK, whether the weather was rainy or sunny, cloudy, whatever it is. ",51,3,Question,1
"And you find that given the weather rainy. You are buying chips more given the weather. Sunny more. You are buying puffs more like that. So this kind of probability, what is it called as? ",35,1,Question,1
OK. What is conditional probablity?,5,1,Question,1
can you please explain conditional probability? ,6,0,Question,1
So what's the moral of the story? ,7,1,Question,1
OK.Now let's say two events A&B are independent of each other. ,11,0,Question,0
Will it be? ,3,0,Question,1
P of A given B equal to P of A into P of B?? ,14,0,Question,1
So each intersection conditional probability. ,5,0,Question,0
"Is intersection you said. Intersection of A&B, right? ",8,0,Question,1
OK. So let's say you have 1 billion numbers in one computer. OK. And you have For some reason you cannot transfer the data from 1 computer to another computer. OK. And you want to find out what is the mode of this data across the computers? another billion numbers in the same range in another computer? ,57,1,Question,1
Mode..you know what is mode?,5,1,Question,1
 how do you find the mode of the data across these two computers? ,14,1,Question,1
 Can you explain function overloading in object oriented programming? ,10,0,Question,1
Can you explain what is short time Fourier transform? ,9,1,Question,1
OK. And how does Fourier transform help represent the signal? ,10,1,Question,1
OK. So when we take a signal like a speech signal?,11,1,Question,0
And we do have Fourier transform. Do we get the frequency components directly or we have to do something on the Fourier transformed values? To get the frequency components. ,28,0,Question,1
OK.Does Fourier transform have any limitations? ,6,0,Question,1
"you have studied the convolutional neural networks, right? ",8,0,Question,1
So in the convolutional neural networks. ,6,0,Question,0
Do we really do convolution? ,5,0,Question,1
What is the difference between convolution and cross correlation? ,9,1,Question,1
OK. What is the difference between convolution and dot product? ,10,1,Question,1
" would you also like to comment on? From convolution and dot product perspective, the vector lengths. ",17,0,Question,1
 Does dot product produce a scalar value or it's a vector? ,12,0,Question,1
Can you tell me one one scenario where that product is used in in engineering applications? ,16,0,Question,1
"So we are applying it in electrical engineering and teaching it to computer science students. Anyway, no problem, no problem. You have studied about lemmatization and stemming, right? ",28,0,Question,1
Can you tell me what's the difference between stemming and lemmatization? ,11,1,Question,1
Can you do lemmatization for a single word? ,8,0,Question,1
And what about stemming? You can do stemming for a single word. ,12,1,Question,1
So when we are producing speech. ,6,1,Question,0
"Our trachea, which is basically the. Throat pipe. OK, that acts like a pipe, which mostly determines the resonant frequency Leading to the formant frequencies which are produced.  ",29,1,Question,0
Now does this track? Yeah. Act like a open-ended pipe. That is two side open-ended or one side open-ended pipe. ,20,0,Question,1
"OK. So you understand what is one side open-ended pipe right? Suppose you are you are taking your ball pen, OK. ",21,1,Question,1
And like it is renal pain or something you have. ,10,0,Question,0
Where you just unscrew it and put that the the the catteries and then they can close it. ,18,0,Question,0
"The other end is closed. The plate or the hole through which you are blowing, that is the slate through which the air will come out.So now can you think and let me know. ",34,1,Question,0
"No, it will come only through that side only because it is one side open. The other side is closed. ",20,0,Question,0
You remember what is the Bayes theorem? ,7,1,Question,1
Can you tell me what it is? ,7,1,Question,1
"If you want it you, you can. If you want, you can probably write it and then probably tell it. That's also fine. ",23,0,Question,0
So you said independent events. Now suppose two events A&B. They are independent. OK. And you already know event A has happened?,22,0,Question,1
What would be the conditional probability? Of B given a. ,10,1,Question,1
"So you are saying if and we are independent, they won't influence each other? ",14,0,Question,1
 So what will be the joint probability? Of A&B in this situation. ,13,1,Question,1
"No, no. What I meant is what would be the joint probability of A and? B. When A&B are independent of each other. ",23,2,Question,1
" that is right because the conditional probability doesn't exist, it becomes the probability of each event independently",18,0,Question,0
"Now, can you tell me now? How does this? Conditional probability. OK, how do we use this concept in speech recognition? ",21,1,Question,1
Very good. You know what is TFIDF? ,7,1,Question,1
" So now from a text processing standpoint, as you are talking about some text. ",15,0,Question,0
" what I'm saying is that since we are talking about text processing, you know there are two, two measures we use in text processing. One is called term frequency, other is called inverse document frequency. ",36,1,Question,0
Can you tell me what is storm frequency? ,8,1,Question,1
"And you have studied about support vector essence at length, right? ",11,0,Question,1
Support vector machines? SVMS. ,4,0,Question,1
Tell me whether SVMS are by class classifiers or they are multiclass classifiers?,13,1,Question,1
"In support vector machines. If you can visualize the support vector machine, we have something called as margin. ",18,0,Question,0
Can you explain what is margin? ,6,1,Question,1
"So I have one last question for you. Yes, Sir. Can you in object oriented programming paradigm? OK. Can you explain inheritance with an example? ",25,0,Question,1
Can you give an example? ,5,0,Question,1
"So is that inheritance or that is like, you know, method overloading. ",12,0,Question,0
How is a convolution neural network different from a Regular fully connected neural network?,14,1,Question,1
So that is all the difference between conversation and the fully connected networks. ,13,0,Question,0
So the computational complexity of a CNN network. CNN versus a fully connected network which has a higher computational complexity. ,20,1,Question,0
What is the advantage of CNN? ,6,1,Question,1
"For processing, it takes less time?",6,0,Question,1
 what is the disadvantage of CNN? ,7,1,Question,1
So what is the? What is the purpose? Of pulling function. ,11,1,Question,TRUE
"We use pulling in CNN, right? ",6,0,Question,TRUE
What is the purpose of having pulling functions? ,8,1,Question,TRUE
"No, I'm talking about pulling pulling layer is there in CNN. ",11,0,Question,FALSE
Why do we have pulling layers? ,6,1,Question,TRUE
what is a bag of words? ,6,1,Question,TRUE
"Yeah, but what is a bag of words? ",8,1,Question,TRUE
What are stop words? ,4,1,Question,TRUE
So this list of stop words is that a fixed list or it keeps changing? From domain to domain. ,19,0,Question,TRUE
It is a fixed list?,5,0,Question,TRUE
OK.What are the different? Regularization functions you know for deep network training. ,12,1,Question,TRUE
Regularization functions. ,2,0,Question,FALSE
What are the different regularization techniques? Which are used for deep network training. ,13,2,Question,TRUE
What is bagging? ,4,1,Question,TRUE
What is universal approximation theorem? ,5,1,Question,TRUE
Have you studied the different optimizers in CNN?,8,0,Question,TRUE
 have you studied different optimizers used in network training? ,10,0,Question,TRUE
So what is the difference between gradient descent algorithm and stochastic gradient descent algorithm? ,14,1,Question,TRUE
What is the rank of a matrix? ,8,1,Question,TRUE
What is rank of a matrix? ,6,1,Question,TRUE
What is the rank of an identity matrix? ,8,1,Question,TRUE
The rank of an identity matrix is one. ,8,0,Question,FALSE
Why 2?,2,1,Question,TRUE
What if I take a 10 by 10 matrix? ,9,1,Question,TRUE
"Yeah. Suppose you have. A square matrix. And the rank is less. Than the number of columns. What will be the determinant of this matrix? Less than 0 equal to 0, greater than 0. ",34,1,Question,TRUE
What are basis vectors?,4,1,Question,TRUE
"For a vector space of dimension, let's say N. N dimensional vector space. ",13,0,Question,FALSE
how many?Basis vectors are required to span the space,9,1,Question,TRUE
N vectors are required?,4,0,Question,TRUE
Suppose we have more than N vectors. What will happen? ,10,1,Question,TRUE
If we have more than North vectors. What will happen? ,10,1,Question,TRUE
Why? ,1,1,Question,TRUE
"Yes, but suppose the number of basis vectors is more than the dimensionality what we have. ",16,1,Question,FALSE
What do you know of foriour transform? ,7,1,Question,TRUE
OK. Anything else? ,3,0,Question,TRUE
This is you have to analyze the signaling frequency domain. ,10,0,Question,FALSE
Why? Why do you say that? What becomes IVF? ,9,2,Question,TRUE
What is drawback of Fourier transfer?,6,1,Question,TRUE
What does that mean? ,4,1,Question,TRUE
"OK, how does it affect us? ",6,1,Question,TRUE
In time domain?,3,0,Question,TRUE
what is time frequency localization problem? ,6,1,Question,TRUE
It cannot take?,3,0,Question,TRUE
So can you? Can you explain that I'm not able to understand what you are saying. ,16,1,Question,TRUE
So is that is that something important? And. How and why? ,11,2,Question,TRUE
Interesting. What is that from? ,5,1,Question,TRUE
After analyzing the spectrum it gives such thought. ,8,0,Question,FALSE
"So what should we you know, what do we prefer to deal with? Is it spectrum or cepstrum ",19,1,Question,TRUE
And why is that? What's wrong with Spectrum? ,8,2,Question,TRUE
I suppose you. You have to design a system. Which has to remove noise from incoming speech signal?,18,1,Question,TRUE
So what would you do? How would you approach this problem? ,11,2,Question,TRUE
OK. So you will generate the cepstrum MFCC coefficients. You will look at it and then you will be able to remove the noise from the space. Is it? ,29,0,Question,TRUE
delta band?,2,0,Question,TRUE
what is delta band?,4,1,Question,TRUE
Filter bank?,2,0,Question,TRUE
"So between speech processing, deep learning, that is DNS, IP and NLP. Who is subjective like most? ",17,1,Question,TRUE
What are the things you have studied in NLP? ,9,1,Question,TRUE
OK. So in speech processing we have something called as. Stop word's right. ,13,0,Question,FALSE
Stop words. What are stop words? ,6,1,Question,TRUE
OK. You have heard of something called TFIDF. ,8,0,Question,FALSE
OK. So what does TF and what does IDF stand for? ,12,1,Question,TRUE
What do they mean? ,4,1,Question,TRUE
What does it? Mean what is TF and what is IDF? ,11,1,Question,TRUE
" So you have also studied. What is bag of words, right? ",12,1,Question,TRUE
What is bag of words? Explain it. ,7,1,Question,TRUE
what is bag of words? ,5,1,Question,TRUE
You know what is 1 hot encoding? ,7,1,Question,TRUE
See in deep learning we have different regularization techniques. Have you heard of them? Have you studied them? ,18,0,Question,TRUE
Are you comfortable with probability or linear algebra? ,8,0,Question,TRUE
"So what do you what becomes? You know, what is conditional probability? ",12,1,Question,TRUE
Can you give an example of conditional probability? ,8,0,Question,TRUE
"ok, so now suppose these two events are independent. Of each other. ",12,0,Question,FALSE
So what would be the conditional probability of the 2nd event given that the 1st event has already happened? ,19,1,Question,TRUE
You mean the 2nd event will not happen at all? ,10,0,Question,TRUE
I'm saying event that the 1st event has already happened or occurred. What would be the probability of the 2nd event occurring? ,22,1,Question,TRUE
So you mean to say that the 2nd? Event will not occur. ,12,0,Question,TRUE
" You have studied about these hidden Markov models, right? ",10,0,Question,TRUE
what is a Markov chain? ,5,1,Question,TRUE
Is that first order Markov chain or that is all about Markov chain? ,13,0,Question,TRUE
Why are you explaining about to be as markov chain?,10,1,Question,TRUE
Can you explain what is the Fourier transfer? ,8,1,Question,TRUE
And why do we do it? ,6,1,Question,TRUE
And why do you say it helps us analyze better? ,10,1,Question,TRUE
" With respect to speech, you explained what is the limitation of Fourier transform. ",14,1,Question,FALSE
"That's the problem. OK, what is the difference between short time Fourier transform and Fourier transform? ",16,1,Question,TRUE
Which one is computationally more efficient? ,6,1,Question,TRUE
So when we do Fourier transform. ,6,1,Question,FALSE
We get the entire spectrum?,5,0,Question,TRUE
It is computationally efficient. So why should we even do something for your transfer? ,14,1,Question,TRUE
OK. So would you say that we apply short time Fourier transform because the signal at hand is not stationary in time? ,22,0,Question,TRUE
You know what are the building blocks of a neural network? ,11,1,Question,TRUE
So why do? We build a network. Can't the neuron do the same thing as the network does? ,18,1,Question,TRUE
"Now, would you be able to probably put down or specify? What are the different limitations of a neuron which is overcome by using a network? Can you put one or two points? ",33,2,Question,TRUE
How do you find out if two vectors are independent of each other or not? ,15,1,Question,TRUE
if the dot product is 0. Then the two vectors are independent. ,12,0,Question,FALSE
"So what if the dot product is .0.2 but something like point? Two, what would you call those two vector sets? ",21,1,Question,TRUE
So do we really need the vectors to be independent for different classification tasks? ,14,0,Question,TRUE
You know what is principal component analysis? ,7,1,Question,TRUE
"OK, you have studied support vector machines, right? ",9,0,Question,TRUE
Where do you? Use support optimizations and what are the different assumptions behind? When we use. Support vector machine for a given scenario. ,23,2,Question,TRUE
"Suppose I ask you to write one sentence splitting algorithm. OK, OK. OK. So and there is a block of text which contains multiple sentences. You are supposed to write one sentence splitting algorithm. ",34,1,Question,FALSE
How would you? What would be your logic? To do a sentence lacking.,13,2,Question,TRUE
One or two example situations where this algorithm may fail.,10,0,Question,FALSE
"So what you are saying is that the simple dot is sometimes used as an abbreviator at other times as like you know, sentence ending statement ending symbol. So because multiple uses of the same symbol for multiple purposes. ",39,1,Question,FALSE
"Which gets interpreted. Humanly, contextually. OK, the algorithm may fail.",10,1,Question,FALSE
 when we. How do the sound propagates when we speak something? How does it propagate from your speaker to a listener?,22,2,Question,TRUE
"So when the sound travels from the mouth of one person to the ear of another person, what kind of signal transmission happens? Is it more of a airwave or is it an electromagnetic wave? Or what is it? How does it go? ",43,3,Question,TRUE
Suppose you and your friend. You going to space where there is no air. Would you be able to speak to each other?,23,0,Question,TRUE
"so I mean, we have different consonant, the four themes which basically come from consent. Sound and then we have 4 names which come from which represent the vowel sounds OK. ",31,1,Question,FALSE
How how do you? How would you differentiate between? Suppose you are looking at only the spectral properties of a sound. Would you be able to make out whether it is a vowel sound or it is a consonant sound? ,40,2,Question,TRUE
" you have a speech signal and you want to understand whether the Sentiment of the speaker is a positive sentiment. Or is a negative sentiment OK.The person is happy.,sad,angry How would you do that?",34,1,question,TRUE
 tell me more?,3,0,question,TRUE
can you help me understand how easily your system will design?,11,1,question,TRUE
" you are saying that you will take the speech signal and you will recognize it and you will have that text, then you will analyze that text to find out what is the sentiment in it, right?",37,1,question,TRUE
"the text is available, how will you analyze it to understand the sentiment?",13,1,question,TRUE
What is noise in text?,5,1,question,TRUE
" be little more specific. You said that you will remove relevant things. How you find out what is irrelevant, what is relevant?",22,3,question,TRUE
 What is the stopword?,4,1,question,TRUE
Can you give an example?,5,0,question,TRUE
you will remove stopwords from the sentence.Then what will you do?,11,1,question,TRUE
How wil you do it?,5,1,question,TRUE
How will you do sentiment analysis?,6,1,question,TRUE
Which approaches will you can you name some approaches?,9,1,question,TRUE
You can use SVM?,4,0,question,TRUE
you have a text sentence and you have removed stop word in it. How do you use it in SVM?Does the SVM understand text sentences?,25,1,question,TRUE
how would you use SVM for this scenario?,8,1,question,TRUE
 when you are doing a convolutional neural network.What do you train for?,12,1,question,TRUE
"You do a training of CNN's, right?",7,0,question,TRUE
What do you train for? What gets trained in a in a training phase of the CNN?,17,2,question,TRUE
what is the difference between a general neural network and a convolutional neural network?,14,1,question,TRUE
convolutional neural networks.,3,0,answer,TRUE
"Which ones, CNS or general networks?",6,1,question,TRUE
CNN used for the image?,5,0,question,TRUE
Name a non-linear classifier?,4,0,question,TRUE
decision tree or SVM which one?,6,1,question,TRUE
why do you said SVM is a non-linear classifier?,9,1,question,TRUE
Can you tell me name of one classifier ?Which is non linear in nature ?,15,0,question,TRUE
what is a stationary signal and what is a non stationary signal?,12,2,question,TRUE
what is the loss function?,5,1,question,TRUE
How is it different from error function?,7,1,question,TRUE
when you are Optimizing for a deep learning network. Or Do you optimize for the loss function or do you optimize for?error function?,23,1,question,TRUE
Why? Why not for?,4,1,question,TRUE
when you optimise for the loss function or cost function?Does it mean it minimizes error or not?,17,1,question,TRUE
"how do you make sure that it minimizes errors?Because you are using some other function, right?So which means what is the relationship between loss function and error function?",28,3,question,TRUE
What is the difference between a normal  regular neural network and the convolutional neural network?,15,1,question,TRUE
Why do we use convolution? What is? What advantage do you get by using convolution?,15,3,question,TRUE
what is the advantage of doing convolution?,7,1,question,TRUE
What is the role of bias in a perceptron?,9,1,question,TRUE
 what is short time Fourier transform STFT?,7,1,question,TRUE
"Instead of using FFT, why do we use STFT?",9,1,question,TRUE
how does the computational time decrease?,6,1,question,TRUE
"so revanth,pranavi said that By windowing And doing STFT, it is computationally less expensive.Do you agree with this?",18,0,question,TRUE
which signal you don't agree?,5,1,question,TRUE
let's say you are handling speech And there are lots of noise.And you are you are given the task to reduce the noise present in the speech signal. How will you achieve this?,33,1,question,TRUE
What kind of filters should you use?,7,1,question,TRUE
you can use either low pass or High Pass. Both will do the noise removal is it?,17,0,question,TRUE
which kind of noise you will use low pass and for which kind of use noise will you use high pass?,21,2,question,TRUE
then you give an example of high frequency noise?,9,0,question,TRUE
Can you be a little more specific?,7,0,question,TRUE
"Give the source of the high frequency noise. Tell me like your dog barking.,OK. Or whispering of the winds or waterfall noise? What would qualify as a high frequency noise?",30,1,question,TRUE
"Construction happening around OK, so you mean to say machinery sounds?",11,0,question,TRUE
 Can you give examples of some low frequency noise?,9,0,question,TRUE
Can you give an example of function overloading and explain what it is?,13,1,question,TRUE
How is memory management done in In object oriented programming languages.?,11,1,question,TRUE
 let's say you are creating different objects. who takes care of disposing these objects after they are used? Their life is over.,22,1,question,TRUE
" I do not know what what's called destroys the objects, but I do know that the objects will be destroyed once.The code is over.",24,1,answer,TRUE
What is the role of a constructor and? What is the role of an destructor?,15,2,question,TRUE
what is the difference between mean and median?,8,1,question,TRUE
Are you sure isn't that mode?,6,0,question,TRUE
Suppose you have 10 ones.So there are. number one is appearing 10 times.7 is appearing 10 times. And all the numbers between 1 and 7 are appearing once only. What would be the median?,34,1,question,TRUE
" you have studied deep learning, right?you have studied deep learning, right?",11,0,question,TRUE
" in deep learning you have studiedConvolutional neural networks, right?",9,0,question,TRUE
why do we use convolutional neural networks?,7,1,question,TRUE
What kind of data?,4,1,question,TRUE
why do we use convolution? What is the advantage of using convolutional neural networks?,14,2,question,TRUE
we use activation functions in networks.Are you aware that we use different activation functions in the neural network?What is the role of activation function?,24,0,question,TRUE
How do they help us?,5,1,question,TRUE
What is the difference between a CNN and RNN?,9,1,question,TRUE
Can you use the CNN network for regression problems?,9,0,question,TRUE
 how will you use the CNN for regression?,8,1,question,TRUE
"what are the different, you know, data augmentation. What is data augmentation in neural networks?",15,2,question,TRUE
Can you tell me what is it?,7,1,question,TRUE
Explain me what you understand by data augmentation?,8,1,question,TRUE
 how does it do it?,5,1,question,TRUE
what are the other regularization techniques you are aware of?,10,1,question,TRUE
"But how will you find out? Let's say that data is already there and you have trained a network. OK, at the end of the training, how will you find out whether the network has gone for overfit or not?",40,2,question,TRUE
suppose the network has been trained.How you find out whether it has gone for overfitting or it is regular fit?,20,0,question,TRUE
what is the difference between stemming and lemmatization?,8,1,question,TRUE
what is canonical form?,4,1,question,TRUE
how do you define canonical form?,6,1,question,TRUE
What is the difference between a word and a token?,10,1,question,TRUE
 there are words or tokens ?,6,0,question,TRUE
what is encoding?,3,1,question,TRUE
What is encoding?,3,1,question,TRUE
Can you give an example?,5,0,question,TRUE
Anything else?,2,0,question,TRUE
 let's say you have a speech processing application.And you have been given the task of Developing your speech recognition system.,20,0,question,TRUE
Where do we use it?,5,1,question,TRUE
And the incoming speech is coming from.Very noisy environment.like a battlefield.,11,0,answer,TRUE
what would you do?,4,1,question,TRUE
 Can you go into little more details about the preprocessing?,10,0,question,TRUE
how would you reduce this noise?,6,1,question,TRUE
which basic techniques?,3,1,question,TRUE
What is spectral subtraction?,4,1,question,TRUE
you know what is your convolution?,6,1,question,TRUE
What is it?,3,1,question,TRUE
What are the different kinds of convolution?Functions which are there.,10,2,question,TRUE
"Are there different kinds of convolution? If so, what are they?",11,1,question,TRUE
"what is the mean and what is the median, right?",10,2,question,TRUE
where is mean used and where is median used?,9,2,question,TRUE
 what I'm asking is not what they are. I'm asking where are they used?,14,3,question,TRUE
Do you know any sequential classifiers?,6,0,question,TRUE
What is the full form of LSTM?,7,1,question,TRUE
What did it mean?,4,1,question,TRUE
What is vanishing gradient?,4,1,question,TRUE
does it happen for every network or it happens for some networks?,12,0,question,TRUE
 how is it addressed in the relu?,7,1,question,TRUE
how does it address the vanishing gradient problem?,8,1,question,TRUE
"You have you have data. OK, it's a numeric data.Now I can either use mean or median To represent the central tendencies of this data.",25,0,question,TRUE
"I have numeric data.I have two options I can use. Mean or median?Now the question is, in what scenario should I use mean and where should I use media?",29,2,question,TRUE
What is covariance and what is correlation?,7,2,question,TRUE
what does a correlation of 0 versus a correlation of one versus a correlation of -1? How would you interpret these things?What does? What do they mean?,27,3,question,TRUE
"Can you name one classifier which is probabilistic in nature? That is, that uses the probabilities of the data to classify.",21,1,question,TRUE
So let's say you have to design a speech recognition system.Can you tell me?How you go about designing this?Let's say you have to do a speech recognition system in your mother tongue.So what all will do to?Build a speech recognition system in your mother tongue.,45,1,question,TRUE
Where do we use windowing function? What is its use for us?,12,2,question,TRUE
What are the different window functions you know of?,9,1,question,TRUE
Hamming window and rectangular window. Which one is better and why?,11,1,question,TRUE
What is the spectrogram?,4,1,question,TRUE
What is MFCC?,3,1,question,TRUE
What are the MFCC's?,4,1,question,TRUE
what is cepstrum?,3,1,question,TRUE
What is mel frequency?,4,1,question,TRUE
"Mel frequency. You said male frequencies cepstral coefficient, right?Did you say mel frequency cepstral coeffiecient?",15,0,question,TRUE
What is mel frequency?,4,1,question,TRUE
go ahead and explain it.Explain it in detail.,8,0,question,TRUE
Anything else?,2,0,question,TRUE
Why do we use these Mel frequencies?Is there any advantage of using male frequencies?,14,1,question,TRUE
question is why?,3,0,question,TRUE
What is the determinant of a rectangular matrix?,8,1,question,TRUE
Determinant of a rectangular matrix is a square matrix.Is that right?,11,0,question,TRUE
what is determinant for a rectangular matrix.,7,1,question,TRUE
Suppose you have a square matrix which is an identity matrix. What is its determinant?,15,2,question,TRUE
"Irrespective of size of the identity matrix, suppose it is 2 by 2, three by three, 5 by 5 everywhere it is one.",23,0,answer,TRUE
Are you sure?,3,0,question,TRUE
You have a square matrix And one of the Columns is 0.What would be the determinant of this matrix?,19,0,question,TRUE
you have a square matrix with one column zero.What is the determinant of this matrix?,15,0,question,TRUE
Why?,1,0,question,TRUE
"why you have to take zero into something you can take determinate with the non zero values also, right?",19,1,question,TRUE
Why? That is what I'm asking. Why?,7,1,question,TRUE
