audio no,person no,speaker 1,speaker 2,question,answer
,,"good evening vamsi, please tell me what is the difference between a general neural network and a convolutional neural network?",The difference between convolution and neural network are sir convolutional uhh general neural network It is the text text to image calibration Sir.,what is the difference between a general neural network and a convolutional neural network?,"The difference between convolution and neural network are, general neural network It is the text text to image calibration."
,,And convolutional neural networks.,"It  typically take the input data from the,from the  vector",convolutional neural networks.,"It  typically take the input data from the,from the  vector"
,,"Which ones, CNS or general networks?",Sir. Sir,"Which ones, CNS or general networks?",
,,yes vamsi,sir now you can hear,,
,,"Yes, yes.",it take the input from the from the vector general neural network sir convolution CN used for the image image,,it take the input from the from the vector general neural network sir convolution CN used for the image image
,,CNN used for the image?,field like data. CNN used it for the best accuracy and improve the accuracy.,CNN used for the image?,field like data. CNN used it for the best accuracy and improve the accuracy.
,,ok Thank you very much guys. Have a good evening,thank you sir,,
12,1,eshwar and then we go to vikranth ok?,ok sir,,
,,OK. Can you tell me name of one classifier ?Which is non linear in nature ?,"Sir, I can't hear you. So so once. Can you repeat my question, Sir?",Can you tell me name of one classifier ?Which is non linear in nature ?,
,,Name a non-linear classifier. Are you able to hear me now?,"SVM,Decision tree. Sir",Name a non-linear classifier?,"SVM,Decision tree"
,,decision tree or SVM which one?,"Both sir,both.",decision tree or SVM which one?,Both
,,why do you said SVM is a non-linear classifier.,"Sir, because actually actually SVM is an kernel function.So, because actually actually SVM is an kernel function.",why do you said SVM is a non-linear classifier.,"because actually actually SVM is an kernel function.So, because actually actually SVM is an kernel function."
,,Thanks.Makes sense?,,,
,,So what is a stationary signal and what is a non stationary signal?,"Sir, I don't. I don't know, Sir.",what is a stationary signal and what is a non stationary signal?,"I don't know, Sir"
,,No problem.,Sir,,
,,Can you tell me what is the loss function?,"It's an cost cost function, mainly it will. It's a type of machine learning model.It minimize and loss function during the training process sir. It mainly minimize the training process ",what is the loss function?,"It's an cost cost function, mainly it will. It's a type of machine learning model.It minimize and loss function during the training process sir. It mainly minimize the training process "
,,How is it different from error function?,Means the loss function Sir.,How is it different from error function?,Means the loss function
,,Yes.,"No idea, Sir.",,
,,"ok,So when you are Optimizing for a deep learning network. Or Do you optimize for the loss function or do you optimize for?error function?",I'll optimize on the loss functions.,when you are Optimizing for a deep learning network. Or Do you optimize for the loss function or do you optimize for?error function?,I'll optimize on the loss functions.
,,Why? Why not for?,"Sir because.It will predict the values of the model and the actual ground truth values, Sir.In the training data.",Why? Why not for?, because.It will predict the values of the model and the actual ground truth values.In the training data.
,,when you optimise for the loss function or cost function?Does it mean it minimizes error or not?,"Sir, it will it. It will minimize the error Sir.",when you optimise for the loss function or cost function?Does it mean it minimizes error or not?,It will minimize the error
,,"And how do you make sure that it minimizes errors?Because you are using some other function, right?So which means what is the relationship between loss function and error function?",sir means the relation between the error means actually the loss function is the model that actually ground the truth values.In this error function it will,"how do you make sure that it minimizes errors?Because you are using some other function, right?So which means what is the relationship between loss function and error function?",relation between the error means actually the loss function is the model that actually ground the truth values.In this error function it will
14,1,"We'll start with Pranavi, then Revanth, then Surya. OK.","Yes, Sir.",,
,,"Yeah. So pranava, yeah.How are you?","I'm good, Sir. I'm fine.",,
,,Yeah. Please don't mute your.Device on and off like that. It creates a lot of with them.,"OK, Sir, I'll not do that. Yeah.",,
,,So tell me.What is the difference between a normal  regular neural network and the convolutional neural network.,Regular neural network and.?,What is the difference between a normal  regular neural network and the convolutional neural network.,
,,CNN convolutional neural networks,like Convolution neural network is basically the subset of neural networks The neural network is basically a machine learning process which has multiple layers and it tries to when we give a Input. It processes all the layers and we get the output from it. In convolutional layers we use convolution method for the filtering tasks and inside the layers as a function.,,
,,Why do we use convolution? What is? What advantage do you get by using convolution?,"For large datas like images and stuff, convolution is used.",Why do we use convolution? What is? What advantage do you get by using convolution?,"For large datas like images and stuff, convolution is used."
,,"Correct, but what is the advantage of doing convolution?","Basically it sir like,Like images are two or three like a 2D data it it is a very huge data which can't be handled by other neural network. So convolution can handle a Larger Data and it can also give a proper analysis for the data. That's why it is chosen according to.",what is the advantage of doing convolution?,"Basically it like,Like images are two or three like a 2D data it it is a very huge data which can't be handled by other neural network. So convolution can handle a Larger Data and it can also give a proper analysis for the data. That's why it is chosen according to."
,,"ok,You know, in a the building block of a neural network is a perceptron.And the perceptron also uses something called as a bias",yes sir,,
,,What is the role of bias in a perceptron?,"Bias is like An activation function you can say Sir.If the.In a perceptron model you have two things like activation function and aggregation function. After aggregating the inputs, if the output is above this level, that is the threshold of the bias, then only it is considered.To as a if it is above, then it is considered as the output one, or if It is below 0 something like that.",What is the role of bias in a perceptron?,"Bias is like An activation function you can say .If the In a perceptron model you have two things like activation function and aggregation function. After aggregating the inputs, if the output is above this level, that is the threshold of the bias, then only it is considered.To as a if it is above, then it is considered as the output one, or if It is below 0 something like that."
,,"OK, very good So in a speech recognition system.We use short time Fourier transform, right?.","I couldn't hear, Sir.",,
,,You know what is short time Fourier transform STFT.,"Short time. Yes, Sir. Yes, Sir. Short.", what is short time Fourier transform STFT.,"Short time. Yes, Sir"
,,"Instead of using FFT, why do we use STFT?","So basically, short time Fourier transform is basically use.in Windowing in fourier a signal and doing fourier to each and every windowing segment that we have updated. So by doing this there will be no loss of data because we are considering each window and we are trying to do and it. It is basically like instead of considering whole signal the computational time and analysis. Like the time complexity will be more so taking one window, the accuracy and analysis is per like almost near to perfection and also the computational time decreases.And it's faster.","Instead of using FFT, why do we use STFT?","So basically, short time Fourier transform is basically use.in Windowing in fourier a signal and doing fourier to each and every windowing segment that we have updated. So by doing this there will be no loss of data because we are considering each window and we are trying to do and it. It is basically like instead of considering whole signal the computational time and analysis. Like the time complexity will be more so taking one window, the accuracy and analysis is per like almost near to perfection and also the computational time decreases.And it's faster."
,,How how does the computational time decrease?,"So whatever I believe is like when you take a whole signal and try to process it, it might give errors and take time.But when you take windowing and try to do, I feel little take less time and process it properly.",how does the computational time decrease?," whatever I believe is like when you take a whole signal and try to process it, it might give errors and take time.But when you take windowing and try to do, I feel little take less time and process it properly."
,,Thank you. We move on to revanth.,Thank you.,,
,2,"so revanth,pranavi said that By windowing And doing STFT, it is computationally less expensive.Do you agree with this?",It might vary depending on the each and every type of signal. You so much speech. Yes Sir. I agree with that.,"so revanth,pranavi said that By windowing And doing STFT, it is computationally less expensive.Do you agree with this?",
,,,,,
,,And which signal you don't agree?,Speech signal with lots and lots of noise.And that might didn't make any difference. So.,which signal you don't agree?,Speech signal with lots and lots of noise.And that might didn't make any difference
,,"OK, so let's say you are handling speech And there are lots of noise.And you are you are given the task to reduce the noise present in the speech signal. How will you achieve this?","Yes.We can use filters, Sir.",let's say you are handling speech And there are lots of noise.And you are you are given the task to reduce the noise present in the speech signal. How will you achieve this?,We can use filters
,,What kind of filters should you use?,low pass or high pass filter,What kind of filters should you use?,low pass or high pass filter
,,So you can use either low pass or High Pass. Both will do the noise removal is it?,"Like based on the type of noise, we can use either low pass or high pass filter",you can use either low pass or High Pass. Both will do the noise removal is it?,"Like based on the type of noise, we can use either low pass or high pass filter"
,,So for which kind of noise you will use low pass and for which kind of use noise will you use high pass?,Low pass can be like high frequency noises like.uh ,which kind of noise you will use low pass and for which kind of use noise will you use high pass?,Low pass can be like high frequency noises like.
,,then you give an example of high frequency noise,Can be any background noise noise.,then you give an example of high frequency noise,Can be any background noise
,,Can you be a little more specific?,Or it can be any like background noise or anything in the.,Can you be a little more specific?, it can be any like background noise or anything in the.
,,"Sorry, I didn't understand the last part.",Like high frequency noise can be any type of background noise in the environment.,,Like high frequency noise can be any type of background noise in the environment.
,,"Give the source of the high frequency noise. Tell me like your dog barking.,OK. Or whispering of the winds or waterfall noise? What would qualify as a high frequency noise?",Like any construction happening around and.,"Give the source of the high frequency noise. Tell me like your dog barking.,OK. Or whispering of the winds or waterfall noise? What would qualify as a high frequency noise?",Like any construction happening around
,,"Construction happening around OK, so you mean to say machinery sounds?","Yeah, that's kind of.","Construction happening around OK, so you mean to say machinery sounds?",that's kind of.
,,"OK, very good. Thank you very much. We'll move on to Surya.",,,
,3,surya. Can you give examples of some low frequency noise?,A basic example which I can give right now is suppose you know you're in your home and there's a washing machine going on. So the low rumbling of the washing machine itself can be considered as a low frequency sound., Can you give examples of some low frequency noise?,A basic example which I can give right now is suppose you know you're in your home and there's a washing machine going on. So the low rumbling of the washing machine itself can be considered as a low frequency sound.
,,Very good.So now  In an object oriented programming environment Surya you have heard of something called function overloading.,"Yes, Sir.",,
,,Can you give an example of function overloading and explain what it is?,"So basically, uh, in Java you use functions with the given set of parameters to make it work.So function overloading is basically when you have two functions of the same name. But you have a different number of parameters in it, so depending on which number of parameters you use, it overrides the other function and it gives.You the output Sir.",Can you give an example of function overloading and explain what it is?,"So basically, uh, in Java you use functions with the given set of parameters to make it work.So function overloading is basically when you have two functions of the same name. But you have a different number of parameters in it, so depending on which number of parameters you use, it overrides the other function and it gives.You the output"
,,"Very good, wonderful answer.",,,
,,How is memory management done in In object oriented programming languages.?,memory management.,How is memory management done in In object oriented programming languages.?,memory management.
,,"So for example, let's say you are creating different objects. OK, who takes care of disposing these objects after they are used? Their life is over.","Yes, Sir.", let's say you are creating different objects. who takes care of disposing these objects after they are used? Their life is over.,
,,"See, they are not disposed off. Do you understand that it will lead to like long term?","Memory overloading. Yes, it will take time.",,
,,"Yes, memory overflow.","Yes, I do not know what what's called destroys the objects, but I do know that the objects will be destroyed once.The code is over.",," I do not know what what's called destroys the objects, but I do know that the objects will be destroyed once.The code is over."
,,"OK, so when you are defining a class, you use something called as a constructor and you also some called something as a destructor, right?","Yes, Sir."," I do not know what what's called destroys the objects, but I do know that the objects will be destroyed once.The code is over.","Yes, Sir."
,,What is the role of a constructor and? What is the role of an destructor?,"And basics in constructor basically utilizes a small instance in the memory itself to define a function to basically work a function and destructor is you could say opposite of it, where after the constructor has finished doing its function it will destroy it.",What is the role of a constructor and? What is the role of an destructor?,"And basics in constructor basically utilizes a small instance in the memory itself to define a function to basically work a function and destructor is you could say opposite of it, where after the constructor has finished doing its function it will destroy it."
,,Very good.,,,
,,"OK, what is the difference between mean and median?","So the mean is technically like the average of whatever input you give it, and the median is.how to explain median?It is the most repeated, not repeated.That is more.So suppose I give you a bunch of numbers. Suppose you take 123 and then four fives and then 5. So the median here would be a number that is close to the bunch of forces because they're repeated more. Basically, it's like, uh, the place where the frequency of numbers is.the highest.",what is the difference between mean and median?,"the mean is technically like the average of whatever input you give it, and the median is.How to explain median?It is the most repeated, not repeated.That is more.So suppose I give you a bunch of numbers. Suppose you take 123 and then four fives and then 5. So the median here would be a number that is close to the bunch of forces because they're repeated more. Basically, it's like, uh, the place where the frequency of numbers is.the highest."
,,,,,
,,Are you sure isn't that mode?,"Mode is the number which is the highest, Sir, but median is the area where the numbers are mostly gathered. Like suppose there are multiple threes and then multiple fours multiple files. The meeting could be somewhere near there because it is the data is distributed more in that area.",Are you sure isn't that mode?,"Mode is the number which is the highest, Sir, but median is the area where the numbers are mostly gathered. Like suppose there are multiple threes and then multiple fours multiple files. The meeting could be somewhere near there because it is the data is distributed more in that area."
,,"OK, so let's let me give an example. Suppose you have 10 ones.So there are. number one is appearing 10 times.7 is appearing 10 times. And all the numbers between 1 and 7 are appearing once only. What would be the median?","The median is not what I explained. That was mode. As you're right, the median is the middle most number in the given given data. When it's sorted, that is.",Suppose you have 10 ones.So there are. number one is appearing 10 times.7 is appearing 10 times. And all the numbers between 1 and 7 are appearing once only. What would be the median?,"The median is not what I explained. That was mode. As you're right, the median is the middle most number in the given given data. When it's sorted, that is."
,,Very well. Thank you very much.,"Thank you, Sir.",,
15,1,So sumanta.,So sumanta.,,
,,"Yeah. You, you, you have studied deep learning, right?","Yes, Sir."," you have studied deep learning, right?you have studied deep learning, right?","Yes, Sir."
,,Good.,,,
,,"And in in deep learning you have studiedConvolutional neural networks, right?","Yes, Sir."," in deep learning you have studiedConvolutional neural networks, right?","Yes, Sir."
,,So why do we use convolutional neural networks?,Sir it's an algorithm that is used to classify the data,why do we use convolutional neural networks?, it's an algorithm that is used to classify the data
,,What kind of data?,It can be Image data or text data or text data. We use text engine to classify the text data or it can be numericals.,What kind of data?,It can be Image data or text data or text data. We use text engine to classify the text data or it can be numericals.
,,So why do we use convolution? What is the advantage of using convolutional neural networks?,Advantages.It has feature extraction like. It can extract relevant features from the raw data set.,why do we use convolution? What is the advantage of using convolutional neural networks?,Advantages.It has feature extraction like. It can extract relevant features from the raw data set.
,,"Yeah, but we could use like a fully connected network as well. So why? What is the? How is a convolutional neural network different from a fully connected network?","I'm not sure about that, Sir.",,
,,"OK, now we use activation functions in networks.Are you aware that we use different activation functions in the neural network?What is the role of activation function?",Activation activation functions helps us to helps us in the classification problems.,we use activation functions in networks.Are you aware that we use different activation functions in the neural network?What is the role of activation function?,Activation activation functions helps us to helps us in the classification problems.
,,How? How do they help us?,Not sure how they help Sir.,How do they help us?,Not sure how they help
,,What is the difference between a CNN and RNN?,CNN and,What is the difference between a CNN and RNN?,
,,Have you studied RNNs?,"No, Sir, I'm actually. I've studied, but I'm not sure about that sir. I can't remember properly sir",,
,,,,,
,,Can you use the CNN network for regression problems?,"Yes, Sir, we can use.",Can you use the CNN network for regression problems?,"Yes, we can use."
,,And how will you use the CNN for regression?,"Like for images classification and spectrograms, we can use them", how will you use the CNN for regression?,"Like for images classification and spectrograms, we can use them"
,,"OK, fine. Thank you.",,,
,2,I'll move on to chemiket,"Good afternoon, Sir.",,
,,"You know what are the different, you know, data augmentation. What is data augmentation in neural networks?","Yes, Sir.","what are the different, you know, data augmentation. What is data augmentation in neural networks?","Yes, Sir."
,,Can you tell me what is it?,"Like what is the definition, Sir?",Can you tell me what is it?,"Like what is the definition, Sir?"
,,No. Explain me what you understand by data augmentation,It is a. It is a technique. It is a technique which will increase the size of training data set by the like if there is a data will generally split into training and testing. Augmentation is nothing but we'll increase the size of training data set.,Explain me what you understand by data augmentation, It is a technique. It is a technique which will increase the size of training data set by the like if there is a data will generally split into training and testing. Augmentation is nothing but we'll increase the size of training data set.
,,And how does it do it?,Like flipping horizontal and vertical flipping and image rotation scaling.By using some functions., how does it do it?,Like flipping horizontal and vertical flipping and image rotation scaling.By using some functions.
,,Very good. what are the other regularization techniques you are aware of?,"Other techniques for augmentation, Sir.",what are the other regularization techniques you are aware of?,Other techniques for augmentation
,,Regularization.,No nothing sir,,
,,No problem.,,,
,,So suppose the network has been trained.How you find out whether it has gone for overfitting or it is regular fit?,"So if there is a large difference between some values, like if we are taking binary data, if number of ones are very greater than number of zeros like there are 10,000 number of ones and only five to six number of zeros, then we will do overfitting.",suppose the network has been trained.How you find out whether it has gone for overfitting or it is regular fit?,"So if there is a large difference between some values, like if we are taking binary data, if number of ones are very greater than number of zeros like there are 10,000 number of ones and only five to six number of zeros, then we will do overfitting."
,,"But how will you find out? Let's say that data is already there and you have trained a network. OK, at the end of the training, how will you find out whether the network has gone for overfit or not?","Not I'm not having any  idea, Sir.","But how will you find out? Let's say that data is already there and you have trained a network. OK, at the end of the training, how will you find out whether the network has gone for overfit or not?",Not I'm not having any  idea
,,No problem.,,,
,,Tell me what is the difference between stemming and lemmatization?,"stemming and lemmatization.Stemming is nothing, but they're both used in like natural language processing only Sir. stemming involves in remaining prefixes and suffixes like if there are. If there is a word like cars, it will remove s. And limitation involves in reduce the number, reduce the words to its canonical form.",what is the difference between stemming and lemmatization?,"stemming and lemmatization.Stemming is nothing, but they're both used in like natural language processing only Sir. stemming involves in remaining prefixes and suffixes like if there are. If there is a word like cars, it will remove s. And limitation involves in reduce the number, reduce the words to its canonical form."
,,And what is canonical form?,"For example, there are words like AM, is, are.They will be converted into B.",what is canonical form?,"For example, there are words like AM, is, are.They will be converted into B."
,,So how do you define canonical form?,Like it's a base word.,how do you define canonical form?,Like it's a base word.
,,What is the difference between a word and a token?,"Word and the token. If there is a word For example, if the there is like if there is sentence I am charmikar then tokens are like I, am and charminar. If there is a word Charmikar tokens are C,H,A,M,I,K,A,R like classification into sub parts.",What is the difference between a word and a token?,"Word and the token. If there is a word For example, if the there is like if there is sentence I am charmikar then tokens are like I, am and charminar. If there is a word Charmikar tokens are C,H,A,M,I,K,A,R like classification into sub parts."
,, there are words or tokens ?,Smaller parts are token Sir., there are words or tokens ?,Smaller parts are token
,,Very good.,,,
,,Thank you.,thank you sir,,
16,1,,"Sir, actually, so he's saying he didn't get any calls here and I'm not able to add him actually.",,
,,"Actually, I don't see his name in that list. What is his name?","Shyam Prasad, Sir.",,
,,What his full name?,"shyam prasad,so that's roll number is 21103 Sir ",,
,,"Yeah, we can get started.","Yeah, we can get started.",,
,,I'll put Sam Prasad on mute.,"Yeah, he's done the call, Sir. Rajesh. Now join.",,
,,"So Mr. Sikar, tell me, what is encoding?","Sorry Sir, I didn't get it.",what is encoding?, I didn't get it.
,,What is encoding?,"So basically like encoding, it transforms the data into different formats or like for efficient processing and all it transforms the data into a different format.",What is encoding?,"like encoding, it transforms the data into different formats or like for efficient processing and all it transforms the data into a different format."
,,Can you give an example?,Like there are few techniques like MFCC. It converts audio signal into feature vectors. Basically these vectors they represent these speech signal characteristics.,Can you give an example?,Like there are few techniques like MFCC. It converts audio signal into feature vectors. Basically these vectors they represent these speech signal characteristics.
,,Very good.,,,
,,Anything else?,"That's all, Sir, as I know.",Anything else?,That's all
,,So where do we use it?,sir,,
,,Where do we use it?,"So it is like it can be used for data compression or for transmission as well. No Sir. Even like for storing, for storing your data in like in a compressed or in a compressed format. We use this encoding.Like it is kind of crucial for convert. So basically what it does, it converts these raw audio signals into feature representations. So like.For synthesis and and we use MFCC as well to convert this audio signals into features.",Where do we use it?,"So it is like it can be used for data compression or for transmission as well. No Sir. Even like for storing, for storing your data in like in a compressed or in a compressed format. We use this encoding.Like it is kind of crucial for convert. So basically what it does, it converts these raw audio signals into feature representations. So like.For synthesis and and we use MFCC as well to convert this audio signals into features."
,,Very good.,,,
,,"So, let's say you have a speech processing application.And you have been given the task of Developing your speech recognition system.","Sir speech recognition system,", let's say you have a speech processing application.And you have been given the task of Developing your speech recognition system.,speech recognition system ?
,,yes,"OK, Sir.",,
,,And the incoming speech is coming from.Very noisy environment.like a battlefield.,yes yes sir,And the incoming speech is coming from.Very noisy environment.like a battlefield.,yes yes sir
,,"OK, So what would you do?","To have very efficient recognition of speech Like the the basic stuff,No Sir. Like first we need to have like a good pre processing and then the feature extraction should be done and then the model also should be trained enough so to give us an good amount of. Accuracy.Is there like, yeah, by including all this, I think, like even in noisy environments we get the proper Or is it the speech signals",what would you do?,"To have very efficient recognition of speech Like the the basic stuff,No Sir. Like first we need to have like a good pre processing and then the feature extraction should be done and then the model also should be trained enough so to give us an good amount of. Accuracy.Is there like, yeah, by including all this, I think, like even in noisy environments we get the proper Or is it the speech signals"
,,Very good. Can you go into little more details about the preprocessing?,"So we can use like noise reduction techniques. No Sir. Since you told it's a noisy environment. Like suppose in a battlefield like suppose so there's gonna be a lot of noisy around. So we can use any noise reduction techniques like spectral subtraction, Sir. That is one thing that we can do. So basically we need to enhance the signal to noise ratio.To improve the preprocessing method.", Can you go into little more details about the preprocessing?,So we can use like noise reduction techniques. No . Since you told it's a noisy environment. Like suppose in a battlefield like suppose so there's gonna be a lot of noisy around. So we can use any noise reduction techniques like spectral subtraction. That is one thing that we can do. So basically we need to enhance the signal to noise ratio.To improve the preprocessing method.
,,And how would you reduce this noise?,"Not sure about that, Sir. We can use like the basic techniques also.",how would you reduce this noise?,Not sure about that. We can use like the basic techniques also.
,,And which basic techniques?,"Spectral subtraction, Sir.",which basic techniques?,Spectral subtraction
,,What is spectral subtraction?,"So it's a common it's like a basically like a it's a noise reduction techniques used for speech processing the app. Yeah. For our thing it can be used for our applications Sir. Like basically what it does is it.It subtracts the estimate of noise spectrum, Sir, from like if it's too noisy. You'd wanna subtract the the estimate of noise. So whatever it's, it's gonna reduce the things it's gonna it. Basically, it enhances the signal to noise ratio. So the model can understand.And like which part of the noise and which can be used for a signal thing like so that we can hear properly.",What is spectral subtraction?,"So it's a common it's like a basically like a it's a noise reduction techniques used for speech processing the app. Yeah. For our thing it can be used for our applications. Like basically what it does is it.It subtracts the estimate of noise spectrum, Sir. from like if it's too noisy. You'd wanna subtract the the estimate of noise. So whatever it's, it's gonna reduce the things it's gonna it. Basically, it enhances the signal to noise ratio. So the model can understand.And like which part of the noise and which can be used for a signal thing like so that we can hear properly."
,,Very good.,,,
,,Thank you. We'll move on to Shyam Prasad.,"Yes, Sir. Thank you, Sir.",,
,2,"Yeah. Mr. Sam Prasad, you know what is your convolution?","Yes, Sir. I know convolution.",you know what is your convolution?,Yes. I know convolution.
,,What is it?,"Sir convolution is nothing, but it's a multiplication of two signals within a filter with a filter. Windowing sir Like So basically there are Sir, it's it's multiplication of two signals with one signal with that another filter signal Sir.",What is it?,"convolution is nothing, but it's a multiplication of two signals within a filter with a filter. Windowing sir Like So basically there are Sir, it's it's multiplication of two signals with one signal with that another filter signal"
,,ok,,,
,,What are the different kinds of convolution?Functions which are there.,Sir,What are the different kinds of convolution?Functions which are there.,
,,"Are there different kinds of convolution? If so, what are they?","Sir Like , There are dimensional convolutions are like 1D,2D and all. 1D convolution 2D convolution like 1D means it is a time series Sir. Basically it says text data convolution.So yes, Sir, basically convolutions are different. Types are like 1D,2D and 3D like in 3D means you are convoluting as images, images and 1D means you are convoluting text data and all features.So that's so.","Are there different kinds of convolution? If so, what are they?","There are dimensional convolutions are like 1D,2D and all. 1D convolution 2D convolution like 1D means it is a time series Sir. Basically it says text data convolution.So yes, Sir, basically convolutions are different. Types are like 1D,2D and 3D like in 3D means you are convoluting as images, images and 1D means you are convoluting text data and all features.So that's so."
,,Very good.,,,
,,"OK, you know what is the mean and what is the median, right?","Mean and median..The name means nothing but sum of all values by total number of values.And median means it is.The middle number in that entire series, Sir.","what is the mean and what is the median, right?",Mean and median..The name means nothing but sum of all values by total number of values.And median means it is.The middle number in that entire series
,,So can you Now tell me where is mean used and where is median used?,Sir mean is used to find basically to find the average average data Sir.And the median is used to find the middle elements. In the data,where is mean used and where is median used?,mean is used to find basically to find the average average data Sir.And the median is used to find the middle elements. In the data
,,right.So what I'm asking is not what they are. I'm asking where are they used,No idea. So basically in statistics they are used in calculating this.this accuracy mean absolute error mean square error, what I'm asking is not what they are. I'm asking where are they used,No idea. So basically in statistics they are used in calculating this.this accuracy mean absolute error mean square error
,,Mean square error OK.,,,
,,Do you know any sequential classifiers?,Service sequential like LSTM and RNN.,Do you know any sequential classifiers?,Service sequential like LSTM and RNN.
,,LSTM and RNN,yes sir,,
,,What is the full form of LSTM?,"long short term memory, Sir",What is the full form of LSTM?,long short term memory
,,What did it mean?,"Sir, basically it sequence. It isn't sequential data, it it learns from sequential data. Sir, basically like a time series data and all it is what it does Sir.It takes information from the previous cells to predict this current cell, Sir.So it also addresses the vanishing gradients as well, which is lacking in RNA.",What did it mean?,"basically it sequence. It isn't sequential data, it it learns from sequential data. Sir, basically like a time series data and all it is what it does Sir.It takes information from the previous cells to predict this current cell, Sir.So it also addresses the vanishing gradients as well, which is lacking in RNA."
,,What is vanishing gradient?,"Sir, the vanishing gradients are when we are back propagating, so the weights in that neural network in the neurons decreases So which allows the neurons to vanish. That information in that neurons.Basically, it occurs during back propagation, Sir, from the result to again from start result to starting.",What is vanishing gradient?," the vanishing gradients are when we are back propagating, so the weights in that neural network in the neurons decreases So which allows the neurons to vanish. That information in that neurons.Basically, it occurs during back propagation, Sir, from the result to again from start result to starting."
,,So does it happen for every network or it happens for some networks?,"Sir, basically it happens based on the type of activation functions we are using in itself. Suppose we are using a sigmoid function. It has an activation. This is a vanishing gradient, whereas in Relu vanishing gradients are addressed in that Sir.",does it happen for every network or it happens for some networks?,", basically it happens based on the type of activation functions we are using in itself. Suppose we are using a sigmoid function. It has an activation. This is a vanishing gradient, whereas in Relu vanishing gradients are addressed in that"
,,And how is it addressed in the relu?,So in relu.what it does was it taken all the negative values were taken to zero and all the positive values are taken as it is and they took maximum of that zero to positive values..In between zero and maximum value., how is it addressed in the relu?,in relu.what it does was it taken all the negative values were taken to zero and all the positive values are taken as it is and they took maximum of that zero to positive values..In between zero and maximum value.
,,So how does it address the vanishing gradient problem?,"Sorry, I don't know much",how does it address the vanishing gradient problem?,I don't know much
,,No problem.,,,
